jupiter,  1.89818722e+27 
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
522536724254.81433,531862096661.79095,-13900115691.15065
